zone,egg_color,egg_size,alpha_opt,metric,score,n_obs,ratio_global,ratio_ewma,ratio_blend
Región Metropolitana de Santiago,blanco,L,0.2,mdape,7.282508687015871,21,0.5412355425899359,0.5636111002611952,0.5593081084013376
Región Metropolitana de Santiago,blanco,M,0.6,mdape,22.38061766695473,21,0.5475799488692717,0.4915570777728464,0.5023307068298513
Región Metropolitana de Santiago,blanco,S,0.6,mdape,23.550551431388143,21,0.4923504942763264,0.45202388430640894,0.4597790016083162
Región Metropolitana de Santiago,blanco,XL,0.2,mdape,5.697688473329557,21,0.5753668999107945,0.5993596168952247,0.5947456328597573
Región Metropolitana de Santiago,color,L,0.3,mdape,5.070871153842979,21,0.547314737113048,0.5460061788594498,0.5462578246774494
Región Metropolitana de Santiago,color,M,0.5,mdape,25.66191522630394,21,0.5636117500268473,0.49665252471155147,0.5095292988106468
Región Metropolitana de Santiago,color,S,0.6,mdape,23.59555100841964,21,0.4923504942763264,0.44834146548484394,0.45680474025243667
Región Metropolitana de Santiago,color,XL,0.2,mdape,5.6607091131676235,21,0.5897510724085644,0.6114970335593675,0.6073151179534438
