date,zone,egg_color,egg_size,source_name,source_url,unit,price_clp,includes_iva,includes_freight,freight_clp,is_promo,notes
2024-10-31,Región Metropolitana de Santiago,blanco,XL,anchor,,docena,1800.0,False,False,,False,from anchors (anchors_wholesale.csv)
2024-10-31,Región Metropolitana de Santiago,blanco,L,anchor,,docena,1620.0,False,False,,False,from anchors (anchors_wholesale.csv)
2024-10-31,Región Metropolitana de Santiago,blanco,M,anchor,,docena,1260.0,False,False,,False,from anchors (anchors_wholesale.csv)
2024-10-31,Región Metropolitana de Santiago,blanco,S,anchor,,docena,1140.0,False,False,,False,from anchors (anchors_wholesale.csv)
2024-10-31,Región Metropolitana de Santiago,color,XL,anchor,,docena,1800.0,False,False,,False,from anchors (anchors_wholesale.csv)
2024-10-31,Región Metropolitana de Santiago,color,L,anchor,,docena,1620.0,False,False,,False,from anchors (anchors_wholesale.csv)
2024-10-31,Región Metropolitana de Santiago,color,M,anchor,,docena,1260.0,False,False,,False,from anchors (anchors_wholesale.csv)
2024-10-31,Región Metropolitana de Santiago,color,S,anchor,,docena,1140.0,False,False,,False,from anchors (anchors_wholesale.csv)
2024-06-30,Región Metropolitana de Santiago,blanco,XL,anchor,,docena,2460.0,False,False,,False,from anchors (anchors_wholesale.csv)
2024-06-30,Región Metropolitana de Santiago,blanco,L,anchor,,docena,2244.0,False,False,,False,from anchors (anchors_wholesale.csv)
2024-06-30,Región Metropolitana de Santiago,blanco,M,anchor,,docena,2064.0,False,False,,False,from anchors (anchors_wholesale.csv)
2024-06-30,Región Metropolitana de Santiago,blanco,S,anchor,,docena,1824.0,False,False,,False,from anchors (anchors_wholesale.csv)
2024-06-30,Región Metropolitana de Santiago,color,XL,anchor,,docena,2484.0,False,False,,False,from anchors (anchors_wholesale.csv)
2024-06-30,Región Metropolitana de Santiago,color,L,anchor,,docena,2268.0,False,False,,False,from anchors (anchors_wholesale.csv)
2024-06-30,Región Metropolitana de Santiago,color,M,anchor,,docena,2088.0,False,False,,False,from anchors (anchors_wholesale.csv)
2024-06-30,Región Metropolitana de Santiago,color,S,anchor,,docena,1824.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-12-31,Región Metropolitana de Santiago,blanco,XL,anchor,,docena,1680.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-12-31,Región Metropolitana de Santiago,blanco,L,anchor,,docena,1428.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-12-31,Región Metropolitana de Santiago,blanco,M,anchor,,docena,1344.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-12-31,Región Metropolitana de Santiago,blanco,S,anchor,,docena,1296.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-12-31,Región Metropolitana de Santiago,color,XL,anchor,,docena,1656.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-12-31,Región Metropolitana de Santiago,color,L,anchor,,docena,1404.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-12-31,Región Metropolitana de Santiago,color,M,anchor,,docena,1320.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-12-31,Región Metropolitana de Santiago,color,S,anchor,,docena,1296.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-05-31,Región Metropolitana de Santiago,blanco,XL,anchor,,docena,2640.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-05-31,Región Metropolitana de Santiago,blanco,L,anchor,,docena,2340.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-05-31,Región Metropolitana de Santiago,blanco,M,anchor,,docena,2280.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-05-31,Región Metropolitana de Santiago,blanco,S,anchor,,docena,2220.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-05-31,Región Metropolitana de Santiago,color,XL,anchor,,docena,2640.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-05-31,Región Metropolitana de Santiago,color,L,anchor,,docena,2340.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-05-31,Región Metropolitana de Santiago,color,M,anchor,,docena,2280.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-05-31,Región Metropolitana de Santiago,color,S,anchor,,docena,2220.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-03-31,Región Metropolitana de Santiago,blanco,XL,anchor,,docena,2220.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-03-31,Región Metropolitana de Santiago,blanco,L,anchor,,docena,2100.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-03-31,Región Metropolitana de Santiago,blanco,M,anchor,,docena,2040.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-03-31,Región Metropolitana de Santiago,blanco,S,anchor,,docena,2016.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-03-31,Región Metropolitana de Santiago,color,XL,anchor,,docena,2244.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-03-31,Región Metropolitana de Santiago,color,L,anchor,,docena,2124.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-03-31,Región Metropolitana de Santiago,color,M,anchor,,docena,2040.0,False,False,,False,from anchors (anchors_wholesale.csv)
2023-03-31,Región Metropolitana de Santiago,color,S,anchor,,docena,2016.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-10-31,Región Metropolitana de Santiago,blanco,XL,anchor,,docena,1704.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-10-31,Región Metropolitana de Santiago,blanco,L,anchor,,docena,1560.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-10-31,Región Metropolitana de Santiago,blanco,M,anchor,,docena,1440.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-10-31,Región Metropolitana de Santiago,blanco,S,anchor,,docena,1380.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-10-31,Región Metropolitana de Santiago,color,XL,anchor,,docena,1764.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-10-31,Región Metropolitana de Santiago,color,L,anchor,,docena,1644.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-10-31,Región Metropolitana de Santiago,color,M,anchor,,docena,1560.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-10-31,Región Metropolitana de Santiago,color,S,anchor,,docena,1380.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-08-31,Región Metropolitana de Santiago,blanco,XL,anchor,,docena,1704.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-08-31,Región Metropolitana de Santiago,blanco,L,anchor,,docena,1560.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-08-31,Región Metropolitana de Santiago,blanco,M,anchor,,docena,1500.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-08-31,Región Metropolitana de Santiago,blanco,S,anchor,,docena,1428.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-08-31,Región Metropolitana de Santiago,color,XL,anchor,,docena,1764.0,False,False,,False,from anchors (anchors_wholesale.csv)
2022-08-31,Región Metropolitana de Santiago,color,L,anchor,,docena,1620.0,False,False,,False,from anchors (anchors_wholesale.csv)
