level,zone,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,base_median,egg_color,egg_size
zone,Región Metropolitana de Santiago,0.9943219957245323,0.9832331698315877,0.9937220095015608,1.0040148766025379,1.0038597077517692,1.0183398538758484,1.0394787174456779,1.0204808778165881,1.0028485240742613,1.0010647288273018,1.0024011205545453,0.9920009283317868,1933.377727,,
zone,Región de Arica y Parinacota,0.9769247088596086,0.9682807878911864,0.9844851405379057,0.9845236561828344,0.9897535756409382,1.0321258362946182,1.0197263242436412,1.024261067880983,1.025062950980318,1.0014156078021332,0.9927893661461372,0.9882735646292522,1979.715,,
zone,Región de Coquimbo,0.9939612209442409,0.9736244087398709,0.9927704579174963,0.9890485308850198,1.0077989271719696,1.023850767845594,1.019936086840737,1.0068757370937267,1.005946206424287,1.0034898613946763,0.996817023219245,1.0134090822628303,1971.425,,
zone,Región de La Araucanía,0.9633325484736186,0.9678049691857252,0.9744732908826601,0.9855142196105732,1.0013436457074998,1.0311956143404108,1.0309985463033107,1.0239245715689689,1.028893501361561,1.0029035543907783,0.9956964947482648,0.9648822198562684,1953.6399999999999,,
zone,Región de Los Lagos,0.9704329357018964,0.9533239457862979,0.9734915122645954,0.9883246860755643,0.9993484762132004,1.0183724762725423,1.0283122319573037,1.0230258643816768,1.0198374775768262,0.9987884377399172,0.9856330969138544,0.9759047464805971,2022.1825,,
zone,Región de Valparaíso,0.9867162890715987,0.9877732550732433,0.9837800344114471,0.99083862781459,1.0188413611696288,1.035413934705759,1.0283231690446255,1.014074719425738,1.0131906257761558,1.0108510591750774,0.9989627664023824,0.9889970877672067,1942.6675,,
zone,Región de Ñuble,0.939504769411639,0.9351061343368458,0.9701619281516907,1.003347902643356,1.0748986740719295,1.1025322953020447,1.1200155405256633,1.1210480980746962,1.0632144195323352,0.9594420347327053,0.943075386104035,0.9434145610613732,2144.9107142499997,,
zone,Región del Biobío,0.9875317782661981,0.9571461850887766,0.979236511328762,0.9871114442272438,0.9975919417406894,1.0107147197941884,1.0084725162309711,1.0155624879723695,1.0315554385147523,0.9953497381774722,0.9989263757077311,0.9865442464879319,1974.62,,
zone,Región del Maule,0.9818854869934858,0.9790653251564106,0.9770597621680702,1.0001108473116949,1.0033640870177176,1.0171439545680694,1.0075028162950703,1.013935827140062,1.0074370812613909,0.991074213564102,1.0073842354500013,0.9938621523454518,1939.605,,
zone_color,Región Metropolitana de Santiago,0.9853806270487813,0.9811259686746076,0.9885525191219585,0.9969106001103502,1.0226596561833978,1.0380643774409573,1.0606331072236106,1.040867439118064,1.0172449233498857,0.9933681693767378,0.9888243376283361,0.9920726363960923,1848.66,blanco,
