date,value
2020-09-01,997.5000000000001
2020-11-01,738.8571428571429
2021-01-01,3531.0
2021-07-01,876.857142857143
2021-09-01,774.8571428571429
2021-10-01,3281.142857142857
2022-01-01,2387.142857142858
2022-06-01,1440.0
2022-08-01,1579.7142857142858
2022-10-01,1577.142857142857
2023-03-01,2098.2857142857147
2023-05-01,2357.1428571428573
2023-12-01,1416.0
2024-06-01,2209.714285714286
2024-10-01,1491.4285714285716
2025-02-01,1885.7142857142856
2025-03-01,2197.714285714286
2025-04-01,2303.142857142858
2025-06-01,2168.571428571429
2025-07-01,2147.1428571428573
2025-09-01,2161.714285714286
